,description,eye_color,hair_color,sex
2145,"An old man with thin lips, a small mouth, short, curly white hair and large ears. He is wearing big glasses.",,,
2146,"An elderly man with grey hair wearing big, round glasses",,,
2147,"A woman with an elongated face, a long, thin nose and large green eyes. She has a defined jawline and long curly blonde hair. She is wearing makeup.",,,
2148,"Man with light to medium skin tone, golden curls and significant eyebrows. He has light, green eyes and he is smirking, with parted lips.",,,
2149,"this man has short curly blonde hair and bushy eyebrows, he has small blue eyes and a straight nose and thin lips",,,
2150,"A man with brown hair, a slender and pointed nose, thin lips and he is wearing a pair of black sunglasses.",,,
2151,"this man has short black hair, he is wearing big black glasses and his nose is pointed and his lips are thin",,,
2152,"A tanned woman with long, messy, light-brown hair, a small, upturned nose ad thin lips. She has a round face and she is wearing sunglasses.",,,
2153,"A woman wearing black aviator sunglasses and hoop earrings, having long brown hair and a round face.",,,
2154,"A focused white woman with pulled back brown hair, a thin nose",,,
2155,"A woman with straight blonde hair, brown eyebrows,  green eyes, a slender and pointed nose and thin lips.",,,
2156,"A young Asian woman with medium-length, dark-brown hair and a fringe. She has pale skin and a strong jaw.",,,
2157,A young Chinese-looking girl with short straight hair  and small dark eyes. Her nose is small and her lips are thin. Her upper teeth are visible as she is smiling,,,
2158,"A young woman with short hair, dark eyes, small nose, small ears and thin lips",,,
2159,A serious looking white man with short brown hair brown eyes and a black beard,,,
2160,A young girl with orange hair and small eyes. Her nose is small and her lips are thin. Her upper teeth are visible. She is smiling,,,
2161,"A young, white girl with brown hair who is smiling",,,
2162,"this is an asian man with short black hair, arched eyebrows and small brown eyes, his nose is long and button-shaped and his lips are thin",,,
2163,"A man with middle-parted blonde hair, light blue eyes and a wide nose. He has a light stubble beard and a square face.",,,
2164,"A man with short brown hair parted in the middle and stubble, having green eyes and a long nose.",,,
2165,"A serious looking white man with short brown hair, green eyes and a light stubble",,,
2166,"this woman with blonde hair is wearing red glasses, she has a thin nose and plum coloured lips",,,
2167,"A man with a large chin, an elongated face, slit-eyes and thick brown hair. He has thin lips, a trimmed beard and is smiling.",,,
2168,"A fair woman with youthful skin, a round face and shiny straight golden hair. She has narrow eyebrows, light-coloured eyes, a button nose, plump rosy cheeks, a thin upper lip and a prominent chin. She has a radiant smile on her face.",,,
2169,"A man with a receding, black combover, blue eyes, thick eyebrows, a long nose, high cheekbones and a strong jaw.",,,
2170,"A serious looking white man with short black hair, blue yes and a long pointy nose",,,
2171,"A young woman with long, dark-brown hair and bangs. He is smiling, wearing light makeup and has a wide nose.",,,
2172,A young girl with medium-length straight brown hair and a curtain fringe. Her eyes are light-coloured and small and there is black make-up around them. Her lips are stretched into a smile. She has got a heavy lower lip. Her upper teeth are visible.,,,
2173,"A young woman with short hair, blue eyes, a small nose and thin lips",,,
2174,"A white woman with long black hair, pointed eyebrows, black eyes, a pointed nose and plump lips.",,,
2175,"A man with short hair, a wrinkled brow, dark eyes and a plump face with slightly droopy features.",,,
2176,"A focused aging white man with short brown hair, brown eyes and chubby",,,
2177,"A serious looking Asian woman with long wavy brown hair, brown eyes",,,
2178,"A woman with a dainty heart-shaped face, smooth skin and neatly pulled-back brown hair. She has well-shaped eyebrows, large green eyes, a straight nose, full lips and a clearly-defined jawline.",,,
2179,This woman has black hair and arched eyebrows and big blue eyes. Her nose is long and her lips are red,,,
2180,"A woman with an elongated, thin face, large eyes and a long, thin nose. She has high cheekbones and jet-black hair. She has a fringe covering most of her forehead and is smiling.",,,
2181,"A woman with neatly tied back dark-brown hair, thin eyebrows, a wide nose and heavy makeup. She is smiling and has sharp features.",,,
2182,A young lady with brown hair pulled back. She has got an oval face. Her eyebrows are very thin. Her eyes are somewhat big and there is black make-up above them that looks a little heavy. Her nose is straight and her lips are heart-shaped. They are painted red. Her lips are parted as she is smiling.,,,
2183,"A young woman with short hair, blue eyes, a small nose and thin lips",,,
2184,"A man with a small mouth, thin lips, a heart-shaped face, and short hair. He has a smooth, glowing complexion and has a well-trimmed black beard.",,,
2185,"A young man with short, dark-brown, spiky hair. He has a wide nose and a bright smile.",,,
2186,A young man with short messy brown hair and small brown eyes. His lips are thin and his upper teeth are visible. He is smiling. A few beauty spots can be seen on his face,,,
2187,A smiling tanned white man with short brown hair brown eyes and a wide nose,,,
2188,"A pale woman with long, straight, dark-brown hair, blue eyes, a wide, toothy smile and a wrinkly face.",,,
2189,"Wide female face with shoulder length straight hair, a large forehead and a big smile, along with small blue eyes and plucked eyebrows.",,,
2190,"A woman with dark hair, blue eyes, a small nose and thin lips",,,
2191,"this woman has long blonde hair, thin eyebrows and small blue eyes, her nose is long and pointed and she is smiling",,,
2192,"A pale man with long, blond hair, dark roots, a prominent, cleft chin, full lips and some stubble.",,,
2193,A young man with medium-length blonde hair. He is looking down. His eyes are small. He has got a heavy lower lip. A stubble beard is growing on his face,,,
2194,"A young man with blonde hair, dark eyes, a small nose and thin lips",,,
2195,"A man with short, brown, windswept hair. He is wearing sunglasses and has a large nose and small ears.",,,
2196,A middle-aged man with hair styled in a messy way. His hair is brown. He is wearing brown aviator. His lips are parted as he seems to be speaking. His lips are thin. His upper teeth are visible. A stubble beard can be seen around his lips.,,,
2197,A man with spiked hair wearing sunglasses,,,
2198,"A man with an oblong face, thin lips, a large nose and thick curly brown hair. He is clean-shaven and has large ears.",,,
2199,"A woman with a fair complexion, pulled-back light brown hair and smooth skin. She has a large forehead, thin eyebrows, light brown hooded eyes, a straight nose, plump cheeks, full lips, pristine teeth and a broad smile.",,,
2200,"An Asian woman with a dainty oval-shaped face, long jet-black hair, a fringe and a porcelain complexion. She has thin eyebrows, brown mono-lid eyes, a long slim nose, a small mouth and a clearly-shaped jawline.",,,
2201,A smiling man wearing a cap and sunglasses. He has sideburns and a goatee.,,,
2202,A middle-aged man wearing a cap and a pair of sunglasses on the cap. His eyes are brown and big and his lips are thin. His upper teeth are visible as he is smiling. A beard is growing around his lips,,,
2203,"A man with short hair, dark eyes, a small nose and thin lips wearing a baseball cap and sunglasses",,,
2204,A young woman with brown hair and a curtain fringe. Her eyes are dark-coloured and there is some make-up around them. Her nose is small and her lips are thin.,,,
2205,"A young woman with ginger hair, dark eyes, a small nose and thin lips",,,
2206,"A man with short, light brown hair which is shaved at the sides. He has a prominent jawline with sideburns and slight stubble.",,,
2207,A young man with short brown hair styled upwards. The hair on the sides of his head is shaved. His eyes are small and his nose is small. His lips are thin and a stubble beard is growing on his face. He looks quite serious,,,
2208,"A man with spiked, fair hair wearing a suit",,,
2209,A young woman with dark-coloured voluminous hair and thick eyebrows. Her eyes are small and dark-coloured. Heavy eyeliner can be seen on her eyelids. Her lips seems to be painted pink. She is wearing a pair of earrings.,,,
2210,A woman with long eyelashes wearing a bow on her head,,,
2211,A middle-aged man with straight brown hair and small dark eyes. His lips are somewhat thick and he is smiling. A beard has grown around his lips,,,
2212,"A grinning tanned white man with medium length brown hair, brown eyes and a brown goatee",,,
2213,"A young boy with a short upturned nose, thick lips, smooth skin and short fair hair. He is wearing glasses.",,,
2214,"A woman with a fair complexion, smooth skin, shiny light brown hair and a side fringe. She has a large forehead, neatly-shaped eyebrows, green deep-set eyes, a straight nose, full lips, a chiselled jawline and prominent cheek-bones.",,,
2215,"A Caucasian man with brown hair, hazel-coloured eyes, a small nose, thin lips and a grey hat.",,,
2216,"A pale man with jet-black hair and a rectangular face. He has hooded eyes, a large straight nose, thin lips, a shaven stubble and a prominent chin.",,,
2217,"A man with short, dark brown hair and an open mouth. He has some slight stubble.",,,
2218,A middle-aged man with short brown hair and small eyes. His mouth is open wide and he seems to be screaming. A stubble beard is growing around his lips and along his jaw,,,
2219,"An exasperated looking white man with short white hair, brown eyes and a light beard",,,
2220,"A middle-aged woman with dark blonde hair, thin eyebrows, brown eyes, a pointed nose and plump lips.",,,
2221,"A man with a square-shaped face, a small mouth and fair hair. He is wearing large glasses.",,,
2222,This younger man has light brown hair and thin eyebrows with a cut he has small brown eyes and he's wearing black square glasses. His nose is pointed and his lips are thin.,,,
2223,"A white man with spikey brown hair and eyebrows, light brown eyes, a big nose and thin lips.",,,
2224,"A man with a large rectangular face, spiky hair, a tanned complexion and a well-trimmed stubble, goatee and moustache. He has thick eyebrows, brown slit eyes, a long nose, plump cheeks and thin lips.",,,
2225,"A man with a reddish skin, an oblong face, neat black hair and a receding hairline. He has a large forehead, slit eyes, a large nose and thick lips.",,,
2226,"An Asian woman with long, slightly frizzy, black hair, sculpted eyebrows, full lips and a strong jaw with otherwise soft facial features.",,,
2227,"A young woman with long hair, dark eyes, small nose and thin lips",,,
2228,"A man with a black beard and a moustache, thick messy black hair and thin black eyebrows.",,,
2229,A young man with short brown hair and small brown eyes. His lips are pursed and some wrinkles can be seen on his forehead. His ears are somewhat outwards. He looks serious.,,,
2230,A grinning white man with short brown hair brown eyes and a chiseled jawline,,,
2231,"A profile shot, short, black hair, thick eyebrows, narrow eyes, a beaky nose and a 5 o'clock shadow.",,,
2232,A middle-aged man with short dark hair and small eyes. His lips are thin and his teeth are visible. He seems to be singing. A stubble beard is growing on his face.,,,
2233,"A young man with short hair, dark eyes, a big nose and thin lips",,,
2234,"A man with black hair and eyebrows, a big and pointed nose, and thin lips.",,,
2235,A profile shot of a man with short hair and a receding hairline. He has soft features.,,,
2236,"A focused white man with short brown hair, and a pointed nose",,,
2237,A young woman with voluminous blonde hair and big dark eyes with make-up around them. Her lips are thin and they are painted pink. Her upper teeth are visible and she is smiling. She's wearing a pair of earrings,,,
2238,"A woman with long, blonde hair wearing long earrings",,,
2239,"A dark skinned man with black shaved hair and a neatly-trimmed goatee. He has thick eyebrows, dark brown hooded eyes, a large nose and thick lips.",,,
2240,"A woman with short brown hair, pointed eyebrows, brown eyes, a petite nose and thin lips.",,,
2241,"A woman with a thin nose, full lips, a round face and sculpted eyebrows. Her hair is long, wavy and black and she is wearing makeup.",,,
2242,A young woman with dark-coloured wavy hair and big dark-coloured eyes. There is some make-up around her eyes. Her nose is small and her lips are full. Her lips are painted red. She has got a serious loko,,,
2243,"A serious looking white woman with long brown hair, brown eyes and red lips",,,
2244,"A pale woman with smooth skin, a heart-shaped and dark brown hair. She has thin eyebrows, brown eyes, a straight nose, plump cheeks and a thin upper lip. She is wearing make-up and dangling earrings.",,,
2245,"A pale man with an oblong face, light blue eyes, hollow cheeks and a prominent nose. He has a thick ginger beard and moustache and shiny ginger hair and pointy ears.",,,
2246,"A pale person with steel blue eyes, a large nose, a prominent chin and a black goatee. This person has straight black chin-length hair, eyeliner  and tattoos on his neck.",,,
2247,"This man is wearing a black and white hat, he has short hair and blue eyes. His nose is pointed and he is wearing a lip ring. He has a beard on his chin and he has tattoos on his neck",,,
2248,An old man with long curly brown hair. His eyes are blue and big and he is wearing a pair of glasses with a thin metal frame. His eyebrows are bushu. HIs lips are thin and they are pursed together.,,,
2249,A focused old white man with long curly brown hair blue eyes and a defined chin,,,
2250,"A dark-skinned woman with thin eyebrows, large dark-coloured eyes, an upturned nose and a plump face. Her hair is pulled back neatly and she is wearing pearl earrings.",,,
2251,"A man with a tanned face, thin lips, large teeth and short white hair. He has deep eyes and has dimples.",,,
2252,"Man with medium to dark skin tone having closely-cropped white hair and wearing a black top. He is smiling widely, with his dark brown eyes, showing his dimples are crow's feet.",,,
2253,"An elderly woman with blonde hair, thin eyebrows, brown eyes, a slender nose and thin lips.",,,
2254,"A young man with green eyes, thick lips and chestnut hair. He has a fringe covering most of his forehead and has high cheekbones.",,,
2255,A man with medium-length black hair combed backwards. His eyes are blue. He seems to be smiling and frowning at the same time. His lips are pressed together. A dimple can be seen on one side of his face.,,,
2256,"An elderly man with short hair, blue eyes, a long nose and thin lips",,,
2257,A young dark-skinned man with short hair. He is wearing a pair of aviator sunglasses. His lips are very thick and a beard is growing around them and along his chin,,,
2258,"A serious looking black man with very short black hair, and a black goatee",,,
2259,A middle-aged man with curly blonde hair. His eyebrows are brown and his eyes are dark-coloured. His lips are thin and his upper teeth are visible. He is smiling.,,,
2260,A smiling white man with short curly blonde hair brown eyes,,,
2261,"An Asian woman with small black eyes, a small face with high cheekbones and long, straight black hair. She is wearing earrings and is smiling.",,,
2262,"A woman with a square-shaped face, wavy brown hair and a fair complexion. She has smooth skin, neatly-shaped brown eyebrows, blue eyes, a small nose, full glossy lips and a clearly-shaped jawline.",,,
2263,"An olive skinned woman with an oblong face and wavy auburn hair. She has a large forehead, thin eyebrows, large brown eyes, a narrow nose, high cheek bones and large lips.",,,
2264,"this woman has long wavy brown hair, thin eyebrows and big brown eyes and a thin nose. her lips are full",,,
2265,"A woman with an elongated face, a short button nose, large eyes and pearl earrings. She has a large chin and thick brown hair. She is wearing makeup.",,,
2266,"A smiling woman with neat, straight-brown hair, blue eyes, thin eyebrows and a cleft chin.",,,
2267,"A smiling white woman with pulled back blonde hair, green eyes and a slight butt chin",,,
2268,"An old Asian man with slightly dark skin, short greying hair, a wide nose and a prominent chin.",,,
2269,"An elderly man with short hair, dark eyes, a small nose, big ears and thin lips",,,
2270,"A man with a tanned complexion, a rectangular clean-shaven face, and black hair. He has a large forehead, thick eyebrows, green hooded eyes, a straight nose, high cheek-bones, a thin upper lip and a chiselled jawline.",,,
2271,"A man with a blonde goatee, having a large nose, large lips and a mohawk.",,,
2272,"A pale woman with light makeup which accentuates her cheekbones. She has long, straight, blond hair, a small nose and thin, sculpted eyebrows.",,,
2273,"A woman with long, blonde hair wearing red lipstick",,,
2274,"A man with a long nose, large lips and a shaved beard. He has a fringe.",,,
2275,"A smiling white woman with pulled back dirty-blonde hair, brown eyes and a long nose",,,
2276,"An old man with grey, receding hair. He has a wide, upturned nose, full lips and a round face.",,,
2277,"An elderly man with receding grey hair, small eyed, big nose and a round head shape.",,,
2278,"An elderly man with short hair, a small nose, big ears and thin lips",,,
2279,"A blonde woman with a big, blue eyes, a short, button nose, a glowing skin and a defined chin. She is wearing eyeliner and is smiling.",,,
2280,"An old white man with hallow cheeks, thin lips, small eyes and white hair. He is clean-shaven and is smiling.",,,
2281,"A pale man with dark-brown hair and highlights. He has thick eyebrows a trimmed, ginger beard and he is biting his lower lip.",,,
2282,A young man with short brown hair and some blonde highlights. His eyes are dark-coloured and small and his lips are thin. He is biting his lower lip. A beard is growing on his face,,,
2283,"A young man with blonde hair, dark eyes, a small nose, small ears and thin lips",,,
2284,"A middle-aged man with a long face, a defined jaw, a long nose and with a stubble. The man has a small moustache and sideburns.",,,
2285,"A man with short, light-brown hair and sunglasses on top of his head. He has a rectangular face with a thin nose.",,,
2286,A young man with short light brown hair. A pair of sunglasses is resting on his head. He has got brown eyes and his lips are thin He has got a dimple,,,
2287,"A man with short hair, dark eyes, a small nose, a big forehead and thin lips",,,
2288,A woman with long blond hair. She is smiling and wearing makeup.,,,
2289,"A smiling white woman with long blonde hair, blue eyes and red lips",,,
2290,"A man with short, black sideburns and a soul patch. He has bushy eyebrows, a wide nose and is wearing a red cap.",,,
2291,A young man wearing a red cap. His eyebrows are thick and his eyes are blue. His lips are thin and hints of a stubble beard can be seen on his face. He has got a goatie. His jawline is well-defined,,,
2292,"A young man with short hair, blue eyes, a small nose and thin lips wearing a red hat",,,
2293,"A young man with wavy hair, dark eyes, a small nose, small ears and thin lips",,,
2294,"A  balding man with a large rectangular face, a clean-shaven moustache and stubble and brown hair. He has thick brown eyebrows, brown hooded eyes, full cheeks, thin lips and a broad smile on his face.",,,
2295,"A man with a rounded face, pale glowing skin, small green eyes and a trimmed beard.",,,
2296,"this is an older man with white hair and white eyebrows, his eyes are small but his nose is big and long, he also has full lips",,,
2297,"A man with long, black hair and an undercut. He is wearing glasses and tunnel earrings and has a slanted smile.",,,
2298,"A young man with long hair, dark eyes, a small nose and thin lips wearing glasses",,,
2299,A smiling young woman with thin eyebrows and a round face. She is wearing makeup and has brunette hair with black roots.,,,
2300,A young girl with brown hair and darker brown roots. Her eyebrows are thick and her eyes are almost closed. Her eyes are dark-coloured and there is some make-up around them. Her lips are thin and she is smiling. Her upper teeth are visible.,,,
2301,"A smiling white woman with long brown hair, long nose and full cheeks",,,
2302,"A woman with tied-back, brunette hair and a fringe. She has light eyes, full lips, sculpted eyebrows and she is wearing makeup.",,,
2303,A young woman with brown hair and a fringe and blue eyes with dark make-up around them. Her nose is small and her lips are thin. She is smiling and she is wearing a pair of earrings,,,
2304,"A woman with ginger hair, blue eyes, a small nose and thin lips",,,
2305,"this woman has ginger hair, thin eyebrows and green eyes. her nose is thin and her lips are natural she is wearing a necklace",,,
2306,"A man with slightly long black hair, narrow black eyes and a slightly big nose. He has quite a dark complexion.",,,
2307,A young Japanese-looking man with short dark-coloured hair and small dark eyes. His nose is small and his lips are thin. He is smiling,,,
2308,"An Asian man with short, dark hair",,,
2309,"A young man with short brown hair and eyebrows, brown eyes, a pointed nose and thin lips.",,,
2310,A young man with short dark hair. The sides of his head are shaved. He is wearing a pair of black sunglasses. His lips are thin and a stubble beard is growing around them,,,
2311,"A focused white man with wavy black hair, shaved sides dyed purple, with a light black beard and sunglasses",,,
2312,"A young woman with long, straight, light-brown hair with dark roots. She has blue eyes, full lips and is wearing light makeup.",,,
2313,A young woman with straight blonde hair and dark roots. Her eyes are blue and there is some make-up around them. Her lips are stretched into a smile.,,,
2314,"A young woman with blonde hair, blue eyes, a small nose and thin lips",,,
2315,"this is an older man with grey hair, bushy arched eyebrows and small eyes. he is wearing glasses and he has a moustache",,,
2316,"An olive-skinned woman with an oval-shaped face, shiny long black hair, shimmery green eyes, a straight nose, plump cheeks, full lips and a well-defined jawline. She is wearing dangling earrings and is smiling.",,,
2317,"A woman with blonde hair gathered into a beach style bun, black eyes and a straight nose. She has very thin lips.",,,
2318,"A serious looking white woman with pulled back blonde hair, blue eyes and a defined jawline",,,
2319,"A young man with puffy brown hair, black droopy eyes and very thin lips. He has a sad expression.",,,
2320,"A confused looking white man with shaggy brown hair, blue eyes",,,
2321,"A man with a long nose, thin lips, small eyes and a defined jawline. He has wrinkles around his eyes and has blonde hair. He has a fringe covering half of his forehead and is smiling.",,,
2322,"A smiling white woman with long blonde hair, blue eyes and red lips",,,
2323,A man with a tall narrow face and long brown hair covering one side of his face. He has blue eyes and a big smile.,,,
2324,"A man with an oblong face, glossy brown hair, a fair complexion and a short stubble and moustache. He has thick eyebrows, green hooded eyes, a large nose, a thin upper lip and a prominent chin. He is smiling.",,,
2325,"A young man with wavy hair, blue eyes, a big nose and a beard",,,
2326,"A woman with an oval-shaped face, large, green eyes, thin lips and blonde hair. She is smiling.",,,
2327,"A young man with brown hair, lighter eyebrows, brown eyes, a pointed nose and thin lips.",,,
2328,"A woman with long, straight, brown hair, a heart-shaped face and glowing skin. She has thin, arched eyebrows, large black eyes, a straight nose and pristine teeth.",,,
2329,"A woman with pale skin, green eyes, a short nose and a defined jawline. She has brown hair, thin lips and has a serious look.",,,
2330,"A white man with a rectangular-shaped face, thin lips, small light-coloured eyes and black hair. He is clean-shaven and is wearing a grey cowboy hat.",,,
2331,"A pale man with short, curly, black hair, dark eyes, a long, narrow nose, a strong jaw and slight facial hair.",,,
2332,A young man with short curly dark hair and small dark eyes. His nose is small and his lips are thin. He has got a heavy lower lip. A thin stubble is growing on his face.,,,
2333,"A smiling white man with short curly black hair, brown eyes and  a light stubble",,,
2334,"A tanned woman with long, straight blond hair and a pair of sunglasses atop her head. She has thin eyebrows, narrow eyes and a round face.",,,
2335,"A lady with blonde hair and dark blonde roots showing. Her hair is parted in the middle and a pair of sunglasses is resting on her head. She has small light-coloured eyes and she is wearing make-up. She is smiling and her lips, with lipgloss on them, are slightly parted.",,,
2336,"A smiling white woman with blonde hair, blue eyes and a small nose",,,
2337,"A young man with short, dark-brown hair and a squarish face. He has bushy eyebrows, an open mouth and hollow cheeks.",,,
2338,"A young man with short hair, dark eyes, small nose and thin lips",,,
2339,"A man with an oblong, rectangular-shaped face, a long narrow nose, thick black eyebrows and thick black hair. He is clean-shaven and has a serious look.",,,
2340,"A woman with messy orange hair and a pale complexion. She has green beady eyes, a crooked nose and a long chin. She is wearing a floral bandana and hoop earrings.",,,
2341,"A man with a tanned complexion and straight silver hair. He has an oval-shaped face, a straight slim nose and a short stubble and moustache. He is wearing large sunglasses.",,,
2342,"A dark-skinned man with short curly jet-black hair, an oblong face and shiny skin. He has thin eyebrows, large round eyes, a straight nose, thick lips, a mental crease under his lips and a clean-shaven moustache and stubble.",,,
2343,"A man with a thick bottom lip, small eyes and shaven hair. He is clean-shaven and has a tanned complexion.",,,
2344,"A black man with a shaved head, bushy eyebrows, small ears, full lips and a goatee.",,,
2345,"A focused looking black man with short black hair, brown eyes and a light stubble",,,
2346,"Fair-skinned man with short, straight, thin hair that is rather light at the sides. He is smiling warmly, having evident crow's feet and dimples. His eyes are dark blue-green and is wearing a sporty jacket.",,,
2347,"A Caucasian man with light brown hair, dark blonde eyebrows, blue eyes, a big nose and thin lips.",,,
2348,"A woman with curly brown hair, pointed eyebrows, dark brown eyebrows, a petite nose and plump lips.",,,
2349,"she has long brown hair, arched eyebrows and big brown eyes. her nose is pointed and her lips are thin",,,
2350,"A young man with blue eyes, a large nose and pale skin. He has brown, messy hair and is smiling.",,,
2351,"A man with a bottom thick lip, black slit-eyes, thick eyebrows and a stubble. He has thick black hair and has an elongated face.",,,
2352,"This man has short black hair, he has bushy arched eyebrows and a pointed nose. He has marked around his eyes and he also has a beard",,,
2353,"A Caucasian woman with blonde hair, brown eyebrows, grey eyes, a pointed nose and a wide smile.",,,
2354,"A female face with hair pulled back, having a small nose, full lips and wearing makeup. She has a confused look.",,,
2355,"A young woman with short hair, dark eyes, a small nose, small ears and thin lips",,,
2356,"An olive-skinned woman with an oval-shaped face and wet, smooth skin. She has thin arched eyebrows, large brown eyes, a small straight nose, high cheek-bones, tanned cheeks and down-turned lips. She is wearing a swimming cap.",,,
2357,"A woman with a defined jawline, a large mouth, brown eyes and long wavy chestnut hair with black roots. She has a glowing complexion and is smiling.",,,
2358,"A smiling white woman with long brown hair,blue eyes and full rosy cheeks",,,
2359,"A fair man with green eyes, a small upturned nose, thin lips and short fair hair. She is clean-shaven and is smiling.",,,
2360,"this younger man has short dark brown hair and arched eyebrows, he has small brown eyes and his nose is pointed and he is smiling",,,
2361,"A dark skinned male face with a moustache and a goatee, dark eyes and a wide nose. He is wearing a flat cap and a pair of earrings.",,,
2362,A young boy with short dark hair. His eyebrows are dark-coloured and short. His eyes are small and dark. The boy's nose is somewhat wide. He has got full lips and he has a thin moustache and some facial hair on his chin. The boy also has pierced ears.,,,
2363,"A young man with short hair, dark eyes, a big nose and thin lips wearing a hat",,,
2364,"A woman with long, straight, brunette hair, a small nose and tanned skin. She has full lips and she is wearing makeup.",,,
2365,"A young woman with long hair, dark eyes, a small nose and thin lips",,,
2366,"This is a picture of an Asian man looking to the side he has short black hair very thin eyebrows, he is also wearing translucent glasses and he can be seen wearing a watch",,,
2367,"A man with wavy, shoulder-length, receding white hair and a light-brown beard. He has an oval-shaped face, a weak chin and he is wearing sunglasses.",,,
2368,An elderly man with a moustache and beard wearing sunglasses,,,
2369,"A man with a chiseled jawline, a rectangular-shaped face, light eyes and blonde hair. He has a trimmed beard and a trimmed moustache.",,,
2370,A young lady with brown hair and small blue eyes. There is some black make-up around her eyes. Her lips are thin and she has got a heavy lower lip. Her upper teeth are visible.,,,
2371,"A young woman with long hair, blue eyes, a small nose and thin lips",,,
2372,A middle-aged man with a stern look. He has white hair but there is also some gray hair in the middle of his head. His eyes are small and blue. His lips are thin and they are set in a straight line.,,,
2373,A white man with short blonde hair and blue eyes,,,
2374,"A woman with short, dark-brown hair, a small nose, closed eyes and a cleft chin. She is pouting her lips and wearing makeup.",,,
2375,"A focused Asian woman with short brown hair, pink lips",,,
2376,"A middle-aged Asian man with big eyebrows, hazel-coloured eyes, a big nose and thin lips.",,,
2377,"This is a middle-aged woman with short curly blonde hair. she has pointed eyebrows, Her eyes are small, she also has a slender nose, she has a big smile.",,,
2378,"A pale, smiling man with greying, short hair and a beard.",,,
2379,A middle-aged man with short dark hair and some white hair.  His eyes are dark and small and his nose is small. His lips are thin and a beard is growing around his lips and along his jawline,,,
2380,"A smiling brown man with short greying-black hair, brown eyes and a black beard",,,
2381,"A man with long, thick brown hair. He has a defined jawline, a thin upper lip, green slit-eyes and a glowing complexion.",,,
2382,"A white woman with copper-coloured hair brown pointed eyebrows, grey-coloured eyes, a small nose, thin lips and she is wearing heavy eye makeup.",,,
2383,"A sun-tanned man with brown curly hair, thin eyebrows, brown eyes, a small nose, thin lips and a light stubble.",,,
2384,"An olive skinned woman with shaped eyebrows, large brown eyes, a straight nose and full lips. She has brown up-styled hair, a side fringe, is wearing diamond earrings and make-up.",,,
2385,"An elderly man with wrinkled skin, white hair and a thick neck. He has a receding hairline, a creased forehead, raised eyebrows, bags under his eyes, droopy cheeks and thin sealed lips.",,,
2386,"This woman has long, wavy, brunette hair, prominent cheeks and a wide smile. She has sculpted eyebrows and she is wearing makeup.",,,
2387,A young woman with brown hair and small brown eyes. There is some make-up around her eyes. There is some rouge on her cheeks. Her lips are thin but she has got a heavy lower lip. Her upper teeth are visible. She is wearing a pair of long earrings.,,,
2388,"A woman with long, wavy hair wearing long earrings",,,
2389,"A dark-skinned woman with long, wavy, dark-brown hair, dark eyes, a wide nose and a bright smile with dimples. She is wearing light makeup and she has drawn on eyebrows.",,,
2390,A young woman with curled brown hair and brown eyes. There is black make-up around her eyes. Her nose is somewhat wide and her lips are thin. Her lower lip is heavy. Her teeth are visible. She is wearing a pair of earrings,,,
2391,"A smiling Latina with wavy brown hair, brown eyes and a wide nose",,,
2392,"An olive-skinned woman with auburn hair, a long straight fringe covering her forehead, sparkly dark brown eyes, a button nose, plump cheeks and pristine teeth. She is wearing make-up and earrings.",,,
2393,"A man with short, black hair and a raised eyebrow. He has a square jaw and a wide grin.",,,
2394,"A smiling man with a wide square face with large features, a raised eyebrow and narrow eyes,",,,
2395,"A grinning white man with short brown hair, brown eyes a long nose and a defined jawline",,,
2396,"A woman with a short upturned nose, large green eyes, a smooth, glowing tanned face, and blonde hair. he is wearing lip gloss and long earrings.",,,
2397,"A man with short black hair, a round face and squinty eyes. He has a bright smile and a receding hairline.",,,
2398,A young man with short brown hair and small eyes. His lips are thin and his upper teeth are visible. A stubble beard is growing on his face. He is smiling.,,,
2399,"A man with dark, short hair who is smiling",,,
2400,"A middle-aged woman with dark brown hair, brown pointed eyebrows, hazel-coloured eyes, a slender nose and thin lips.",,,
2401,"this is an older man with white hair and a white beard with sideburns, his eyebrows are rounded and his eyes are small. his nose is big and plump but his lips are small",,,
2402,"A man with thin lips, a trimmed moustache, together with a trimmed beard and a long, button nose. He has dark eyes and has sideburns.",,,
2403,"A pale woman with a strong jaw, a pointed chin, a pointed nose, sculpted eyebrows some makeup and long, wavy, dark-brown hair.",,,
2404,"A woman wearing heavy makeup such as cherry red lipstick and eyeshadow, having long wavy dark brown hair and a chiselled face. She is wearing diamond earrings.",,,
2405,"A grinning pale woman with long brown hair, red lips and brown eyes",,,
2406,"A woman with an elongated face, a long nose, large, light-green eyes and a protruding chin. He has a smooth, glowing complexion and blonde hair.",,,
2407,"A black man with a round face, a shaved head and a goatee. He has a wide nose and full lips.",,,
2408,A focused bald black man with brown eyes a big nose and a black goatee,,,
2409,"A smiling white man with short blonde hair, blue eyes, a light brown beard and a big forehead",,,
2410,"A focused white woman with long dirty-blonde hair, brown eyes",,,
2411,"A woman with voluminous blonde hair, arched eyebrows, small nose and full lips.",,,
2412,"A woman with curly hair, dark eyes, a small nose and thin lips",,,
2413,"A pale woman with neatly tied-back blond hair, thick, sculpted eyebrows and some makeup.",,,
2414,A woman with golden hair pulled back. Her skin looks flawless. She is looking up and her eyes are blue with black make-up above them. Her lips are heart-shaped and they are painted in a dark shade of red.,,,
